Nama_Obat;Manufacturer;Content;Indications;Contraindications;Adverse_Reactions;Diseases;MIMS_Class
Anesfar;Fahrenheit;Midazolam;Premed before induction of anesth. Basal sedation before diagnostic or surgical interventions. Induction & conscious sedation.;Hypersentivity to benzodiazepines. History of acute narrow-angle glaucoma. Intrathecal or epidural administration. Premature infant.;"Arterial BP, pulse rate & breathing changes; nausea, vomiting, headache, hiccups, laryngospasm, dyspnea, hallucination, ataxia, skin rash, paradoxical reactions, amnesic episodes, resp depression, apnea.";"Insomnia; Epilepsy; Epilepsy (Pediatric).";Hypnotics & Sedatives
Hipnoz;Pharos;Midazolam;Anesth used in premed induction & maintenance of general anesth. Basal sedation in diagnostic procedure & local anesth.;Hypersensitivity to benzodiazepine. Resp insufficiency, acute narrow-angle glaucoma.;Agitation, involuntary movement, slurred speech, lethargy, dizziness, thrombophlebitis, thrombosis.;"Insomnia; Epilepsy; Epilepsy (Pediatric).";Hypnotics & Sedatives
Sedacum;Dexa Medica;Midazolam;Anaesth used in premed, induction & maintenance of general anaesth, basal sedation in diagnostic procedure & local anaesth.;Hypersensitivity to benzodiazepine. Resp insufficiency, acute narrow-angle glaucoma.;Agitation, involuntary movement, slurred speech, lethargy, dizziness, thrombophlebitis, thrombosis.;"Insomnia; Epilepsy; Epilepsy (Pediatric).";Hypnotics & Sedatives
Brintellix;Lundbeck Export A/S, Indonesia TRO;Vortioxetine;Major depressive disorder in adults.;Hypersensitivity. Concomitant use with non-selective MAOIs or selective MAO-A inhibitors.;"Nausea. Abnormal dreams; dizziness; diarrhoea, constipation, vomiting; pruritus, including generalised pruritus.";Depression.;Antidepressants
Cipralex;Lundbeck Export A/S, Indonesia TRO;Escitalopram;Major depressive episodes, panic disorder with or without agoraphobia, social anxiety disorder (social phobia), generalized anxiety disorder, obsessive-compulsive disorder.;"Hypersensitivity. Concomitant use with non-selective, irreversible MAOIs; pimozide.";"Nausea. Decreased/increased appetite, increased weight; anxiety, restlessness, abnormal dreams, decreased libido, anorgasmia in females; insomnia, somnolence, dizziness, paraesthesia, tremor; sinusitis, yawning; diarrhoea, constipation, vomiting, dry mouth; increased sweating; arthralgia, myalgia.";"Anxiety; Premenstrual Dysphoric Disorder; Depression; Obsessive-Compulsive Disorder.";Antidepressants
Deptral;Meprofarm;Sertraline HCl;Depression symptoms with or without history of mania.;Hypersensitivity.;Nausea, diarrhea, dyspepsia, tremor, dizziness, insomnia, dry mouth, decreased appetite.;"Anxiety; Premenstrual Dysphoric Disorder; Depression; Obsessive-Compulsive Disorder; Postpartum Depression.";Antidepressants
Doxetin;Yarindo Farmatama;Fluoxetine;Depression.;Hypersensitivity. Kidney failure (GFR <10 mL/min).;Fatigue, fever, nausea, dry mouth, anorexia, dyspepsia, vomiting, headache, nervousness, insomnia, drowsiness, anxious, tremor, dizziness, pharyngitis, dyspnea, rash.;"Anxiety; Premenstrual Dysphoric Disorder; Depression; Fibromyalgia; Headache; Migraine Headache; Narcolepsy; Obsessive-Compulsive Disorder; Postpartum Depression.";Antidepressants
Duloxta;Mersifarma TM;Duloxetine;Depression. Diabetic peripheral neuropathic pain (DPNP). Treatment of generalized anxiety disorder (GAD) & prevention of recurrence for 6 month.;Concomitant use with non-selective irreversible MAOIs & potent CYP1A2 inhibitors eg, fluvoxamine, ciprofloxacin, enoxacin. Hepatic & severe renal (CrCl <30 mL/min) impairment.;Nausea, headache, dry mouth, fatigue, somnolence, insomnia, dizziness, constipation, diarrhea, decreased appetite, hyperhydrosis.;"Anxiety; Cancer Pain; Depression; Fibromyalgia; Neuropathic Pain; Low Back Pain; Osteoarthritis; Diabetes Mellitus.";Antidepressants   /   Drugs for Neuropathic Pain
Efexor XR;Pfizer;Venlafaxine HCl;Depression including depression with associated anxiety. Anxiety or generalized anxiety (including long-term treatment), social anxiety & panic disorders. Prevention of relapse & recurrence of depression.;Hypersensitivity. Concomitant use with MAOIs.;"Insomnia; headache, dizziness, sedation; nausea, dry mouth, constipation; hyperhidrosis. Decreased appetite; abnormal dreams, nervousness, decreased libido, agitation, anorgasmia; akathisia, tremor, paraesthesia, dysguesia; visual impairment, accommodation disorder, mydriasis; tinnitus; tachycardia, palpitations; HTN, hot flush; dyspnoea, yawning; diarrhoea, vomiting; rash, pruritus, night sweats; hypertonia; urinary hesitation & retention, pollakiuria; erectile dysfunction ejaculation disorder; fatigue, asthenia, chills; decreased/increased weight.";"Anxiety; Premenstrual Dysphoric Disorder; Cancer Pain; Depression; Headache; Migraine Headache; Narcolepsy; Postpartum Depression; Chronic Pelvic Pain; Chronic Pelvic Pain in Women; Neuropathic Pain.";Antidepressants
Elapram;Dexa Medica;Fluoxetine HCl;Major depressive episodes.;Hypersensitivity. Concomitant treatment with nonselective irreversible MAOI, pimozide.;"Increased/decreased appetite; anxiety, restlessness, abnormal dreams, decreased libido, anorgasmia (female); insomnia, somnolence, dizziness, paresthesia, tremor; sinusitis, yawning; diarrhea, constipation, vomiting, dry mouth; sweating increased; athralgia, myalgia; male ejaculation disorder, impotence; fatigue, pyrexia; increased weight.";"Anxiety; Premenstrual Dysphoric Disorder; Depression; Obsessive-Compulsive Disorder.";Antidepressants
Elizac;Mersifarma TM;Fluoxetine HCl;Depression.;Unstable epilepsy. Concurrent administration with MAOI. Severe renal failure (GFR <10 mL/min). Lactation. Childn.;"Asthenia, fever, nausea, vomiting, headache, nervousness, drowsiness, pharyngitis, skin rash, urticaria; dry mouth, diarrhoea, dyspepsia, insomnia; decreased pulse rate, bradycardia, extrapyramidal reaction & akathisia.";"Anxiety; Premenstrual Dysphoric Disorder; Depression; Fibromyalgia; Headache; Migraine Headache; Narcolepsy; Obsessive-Compulsive Disorder; Postpartum Depression.";Antidepressants
Elxion;Mersifarma TM;Escitalopram;Major depressive episodes, panic disorder with or without agoraphobia.;Hypersensitivity. Concomitant treatment with non-selective, irreversible MAOIs.;Decreased appetite, insomnia, somnolence, dizziness, taste disturbance, sleep disorder.;"Anxiety; Premenstrual Dysphoric Disorder; Depression; Obsessive-Compulsive Disorder.";Antidepressants
Escipra;Amarox;Escitalopram oxalate;"Major depressive episodes; panic disorder with or without agoraphobia; social anxiety disorder (social phobia); generalized anxiety disorder; obsessive-compulsive disorder.";"Hypersensitivity. Concomitant use with non-selective, irreversible MAOIs; pimozide.";"Nausea. Decreased/increased appetite, increased weight; anxiety, restlessness, abnormal dreams, decreased libido, anorgasmia (in females); insomnia, somnolence, dizziness, paraesthesia, tremor; sinusitis, yawning; diarrhea, constipation, vomiting, dry mouth; increased sweating; arthralgia, myalgia; ejaculation disorder & impotence (in males); fatigue, pyrexia.";"Anxiety; Premenstrual Dysphoric Disorder; Depression; Obsessive-Compulsive Disorder.";Antidepressants
Fridep;Mersifarma TM;Sertraline HCl;Symptoms of depression in patients with or without a history of mania.;Concomitant or within 2 week of MAOI therapy.;Dry mouth, nausea, diarrhea/loose stools, male sexual dysfunction (primarily ejaculatory delay), increased sweating, dyspepsia.;"Anxiety; Premenstrual Dysphoric Disorder; Depression; Obsessive-Compulsive Disorder; Postpartum Depression.";Antidepressants
Frimania;Mersifarma TM;Lithium carbonate;Mania & hypomania, bipolar depression, control of aggressive behaviour or intentional self-harm.;Cardiac disease. Addison's disease or untreated hypothyroidism. Renal impairment. Pregnancy & lactation.;GI effects, muscle weakness, lack of coordination, drowsiness, dizziness, tinnitus, blurred vision, nausea, vertigo, dazed feeling, light hand tremors, thirst, polyuria. Weight gain, oedema. Memory impairment, hyperparathyroid.;"Depression; Headache; Bipolar Disorder.";Antidepressants
Luvox;Abbott Products;Fluvoxamine maleate;Depressive illness & symptoms of depressive disorder.;Hypersensitivity. In combination with MAOIs. Lactation.;Nausea, vomiting.;"Depression; Narcolepsy; Obsessive-Compulsive Disorder.";Antidepressants
Nopres;Dexa Medica;Fluoxetine HCl;Depression, obsessive-compulsive disorders, bulimia.;Hypersensitivity.;CNS effects (anxiety, nervousness, insomnia), GI effects (anorexia, nausea, diarrhea), drowsiness, fatigue, tremor, increased sweating, dizziness, lightheadedness, chills, increased appetite, weight loss, abnormal dream, agitation, bronchitis, rhinitis, yawn, headache, reduced libido.;"Anxiety; Premenstrual Dysphoric Disorder; Depression; Fibromyalgia; Headache; Migraine Headache; Narcolepsy; Obsessive-Compulsive Disorder; Postpartum Depression.";Antidepressants
Sandepril 50;Mersifarma TM;Maprotiline HCl;Endogenous depression.;Epilepsy or lowered convulsion threshold, acute MI, cardiac conduction defects, narrow-angle glaucoma, urinary retention. Acute poisoning with alcohol, hypnotics or psychotropic drugs. Concomitant treatment with MAOIs. Severe hepatic or renal impairment.;Frequent: Mild CNS & anticholinergic reactions. Occasional: Sinus tachycardia, postural hypotension, nausea, weight gain, allergic skin reactions.;Depression.;Antidepressants
Spravato;Johnson & Johnson;Esketamine;In combination with SSRIs or SNRIs for adults with treatment-resistant major depressive disorder (MDD) who have not responded to at least 2 different treatments with antidepressants in current moderate to severe depressive episode.;"Hypersensitivity to esketamine, ketamine. Patients whom increased blood or intracranial pressure poses serious risk eg, patients with aneurysmal vascular disease including intracranial, thoracic, or abdominal aorta, or peripheral arterial vessels; history of intracerebral haemorrhage; recent (within 6 week) CV event including MI.";"Dissociation; dizziness, headache, dysgeusia, somnolence, hypoaesthesia; vertigo; nausea, vomiting. Euphoric mood, agitation, anxiety, illusion, irritability, panic attack, altered time perception, hallucination including visual hallucination, derealisation; mental impairment, tremor, lethargy, dysarthria, paraesthesia, sedation; blurred vision; hyperacusis, tinnitus; tachycardia; HTN; nasal discomfort & dryness including nasal crusting & pruritus; dry mouth, oral hypoaesthesia; hyperhidrosis; pollakiuria, dysuria, micturition urgency; feeling abnormal, drunk & body temp change; increased BP.";Depression.;Antidepressants
Stablon;Servier;Tianeptine;Major depressive episodes.;Association with MAOIs. A washout period of 2 week is necessary between treatment with MAOIs & treatment with tianeptine. A washout period of only 24 hour is required when replacing tianeptine with a MAOI. Childn <15 year.;Rare & non-severe: epigastric pain, abdominal pain, nausea, vomiting, constipation. Insomnia, drowsiness, asthenia. Dry mouth. Tachycardia, extrasystoles. Vertigo, headache, lipothymia, tremor, hot flushes. Resp discomfort. Myalgia, back pain.;Depression.;Antidepressants
Valdoxan;Servier;Agomelatine;Major depressive episodes in adult.;Hepatic impairment ie, cirrhosis or active liver disease.;"Nausea migraine; diarrhea, constipation, upper abdominal pain; hyperhidrosis; back pain; fatigue; increased ALAT &/or ASAT; anxiety.";Depression.;Antidepressants
Zerlin;Pharos;Sertraline;All types of depression with or without a history of mania. Prevention of relapse of initial or recurrent episodes of depression.;Concomitant or within 2 week of MAOI therapy.;Dry mouth, nausea, diarrhea/loose stool, male sexual dysfunction (primary ejaculatory delay), increased sweating, dyspepsia.;"Anxiety; Premenstrual Dysphoric Disorder; Depression; Obsessive-Compulsive Disorder; Postpartum Depression.";Antidepressants
Abilify Maintena;Otsuka;Aripiprazole;Schizophrenia.;Hypersensitivity.;Increased weight, akathisia, injection site pain, sedation. Abdominal discomfort, constipation, diarrhoea, dry mouth, toothache, vomiting.;"Depression; Autistic Disorder; Bipolar Disorder; Schizophrenia; Tourette's Syndrome & Other Tic Disorders.";Antipsychotics
Arinia;Meprofarm;Aripiprazole;Schizophrenia.;Hypersensitivity.;Nausea, headache, insomnia. Adult: Vomiting, constipation, dizziness, akathisia, anxiety, agitation. Adolescents & childn: Drowsiness, extrapyramidal disorders, fatigue, increased appetite, insomnia, nasopharyngitis, weight gain.;"Depression; Autistic Disorder; Bipolar Disorder; Schizophrenia; Tourette's Syndrome & Other Tic Disorders.";Antipsychotics
Aripi;Dexa Medica;Aripiprazole;Schizophrenia. Acute & maintenance treatment of manic & mixed episodes associated with bipolar disorder. Irritability associated with autistic disorder. Adjunct for major depressive disorder.;Hypersensitivity.;"Akathisia, sedation, restlessness, tremor, extrapyramidal disorder, insomnia, fatigue, lethargy; blurred vision; headache, dizziness; somnolence; vomiting, nausea, constipation, dyspepsia, dry mouth, toothache, abdominal/stomach discomfort; musculoskeletal stiffness, pain in extremity, myalgia, muscle spasm; agitation, anxiety; nasopharyngitis; increased/decrease appetite.";"Depression; Autistic Disorder; Bipolar Disorder; Schizophrenia; Tourette's Syndrome & Other Tic Disorders.";Antipsychotics
Arpizol;Amarox;Aripiprazole;Schizophrenia. Monotherapy & adjunct to lithium or valproate in acute treatment of manic & mixed episodes associated with bipolar I disorder & in maintenance treatment of bipolar I disorder. Adjunctive therapy to antidepressants for major depressive disorder. Irritability associated with autistic disorder. Tourette's disorder.;Hypersensitivity.;Nausea, headache, insomnia. Adult: Constipation, dizziness, akathisia, anxiety, restlessness. Childn: Somnolence, vomiting, extrapyramidal disorder, fatigue, increased appetite & weight, nasopharyngitis.;"Depression; Autistic Disorder; Bipolar Disorder; Schizophrenia; Tourette's Syndrome & Other Tic Disorders.";Antipsychotics
Avram;Pharos;Aripiprazole;Maintenance for acute schizophrenia & bipolar disorder for childn, adolescent & adult. Adjunctive therapy for major depressive disorder.;Hypersensitivity.;Headache, nausea, vomiting, constipation, anxiety, insomnia, lightheadedness, somnolence, akathisia.;"Depression; Autistic Disorder; Bipolar Disorder; Schizophrenia; Tourette's Syndrome & Other Tic Disorders.";Antipsychotics
Cepezet;Mersifarma TM;Chlorpromazine HCl;"Schizophrenia & related psychoses, tranquillisation & emergency control in behavioural disturbances; adjunctive therapy in behavioural disorders due to mental retardation.";"Bone marrow depression, Reye's syndrome; coma caused by barbiturates or alcohol. Severe hepatic or renal impairment. Childn <6 month.";Jaundice, postural hypotension & resp depression, blood dyscrasias, acute dystonia, tardive dyskinesia, visual disturbances, extrapyramidal reactions (high doses).;"Anxiety; Autistic Disorder; Bipolar Disorder; Schizophrenia; Nausea & Vomiting.";Antipsychotics
Clorilex;Mersifarma TM;Clozapine;Schizophrenia in patients who are nonresponsive or intolerant of classical neuroleptics.;History of drug-induced granulocytopenia & agranulocytosis, impaired bone marrow function, uncontrolled epilepsy, alcoholic & other toxic psychoses, drug intoxication, comatose conditions, circulatory collapse, CNS depression, severe hepatic dysfunction & renal or cardiac failure.;"Granulocytopenia, agranulocytosis, eosinophilia &/or leucocytosis. Fatigue, drowsiness, sedation, dizziness, headache, EEG changes; hypersalivation, dry mouth, blurred vision, sweating & temp regulation disturbances; tachycardia, postural hypotension, HTN, collapse, cardiac arrhythmias, pericarditis, myocarditis, circulatory collapse, resp depression or arrest; nausea, vomiting, constipation, incontinence or urinary retention, priapism, acute interstitial nephritis, benign hyperthermia, hyperglycemia, weight gain.";"Bipolar Disorder; Schizophrenia.";Antipsychotics
Haldol Decanoas;Johnson & Johnson;Haloperidol decanoate;Maintenance treatment of chronic schizophrenia & other psychoses.;Hypersensitivity. Comatose state, CNS depression due to alcohol or other depressant drug, Parkinson's disease, dementia with Lewy bodies, progressive supranuclear palsy.;"Extrapyramidal disorder, tremor, parkinsonism, somnolence, masked facies, akathisia, sedation, akinesia, dyskinesia, hypertonia, dystonia, cogwheel rigidity, neuroleptic malignant syndrome, tardive dyskinesia, bradykinesia, dizziness, hyperkinesia, hypokinesia, motor dysfunction, involuntary muscle contractions, nystagmus; dry mouth, constipation, salivary hypersecretion; muscle rigidity; sexual dysfunction; injection site reaction; increased weight; blurred vision, visual disturbances, oculogyric crisis; tachycardia; hyperprolactinaemia; increased libido, restlessness; hypotension, orthostatic hypotension; trismus, toricollis, muscle spasms, musculoskeletal stiffness, muscle twitching; amenorrhoea, galactorrhoea, menstrual disorder, erectile dysfunction, breast discomfort, breast pain, dysmenorrhoea, menorrhagia; gait disturbance.";"Anxiety; Schizophrenia; Tourette's Syndrome & Other Tic Disorders; Nausea & Vomiting.";Antipsychotics
Olaz;Yarindo Farmatama;Olanzapine;Acute treatment & maintenance of schizophrenia & other psychoses when positive &/or negative symptoms are prominent. Moderate to severe manic episode. Prevention of recurrence in patient with bipolar disorder.;Hypersensitivity. Narrow-angle glaucoma.;Somnolence, weight gain, eosinophilia, increased plasma prolactin, cholesterol, glucose & triglyceride levels, dizziness, akathisia, Parkinson's disease, dyskinesia, orthostatic hypotension, cholinergic symptoms, asymptomatic transient increase in liver enzyme levels, rash, asthenia, fatigue & edema.;"Depression; Bipolar Disorder; Schizophrenia.";Antipsychotics
Q-Pin;Amarox;Quetiapine;Schizophrenia, manic & depressive episodes associated with bipolar disorder.;Hypersensitivity. Concomitant administration with cytochrome P450 3A4 inhibitors eg, HIV-PIs, azole-antifungal agents, erythromycin, clarithromycin & nefazodone.;"Decreased haemoglobin; elevated serum triglycerides, elevated total cholesterol (predominantly LDL cholesterol), decreased HDL cholesterol, weight gain; dizziness, somnolence, headache, extrapyramidal symptoms; dry mouth; withdrawal symptoms. Leucopenia, decreased neutrophil count, increased eosinophils; hyperprolactinaemia, total T4, free T4, total T3 decreased, increased TSH; increased appetite, blood glucose increased to hyperglycaemic levels; abnormal dreams & nightmares, suicidal ideation & behaviour; dysarthria; tachycardia, palpitations; blurred vision; orthostatic hypotension; dyspnoea; constipation, dyspepsia, vomiting; elevated ALT, elevated gamma-GT levels; mild asthenia, peripheral oedema, irritability, pyrexia.";"Anxiety; Depression; Bipolar Disorder; Schizophrenia.";Antipsychotics
Remital;Pharos;Olanzapine;Acute treatment & maintenance of schizophrenia & other psychoses when positive &/or negative symptoms are prominent. Moderate to severe manic episode. Prevention of recurrence in patient with bipolar disorder.;Narrow-angle glaucoma.;Somnolence, weight gain, increase plasma prolactin levels, dizziness, akathisia, increased appetite, peripheral edema, orthostatic hypotension, dry mouth, asymptomatic eosinophilia, constipation, transient increase in liver enzyme levels, neuroleptic malignant syndrome, tardive dyskinesia.;"Depression; Bipolar Disorder; Schizophrenia.";Antipsychotics
Rexulti;Otsuka;Brexpiprazole;Exacerbation & maintenance of schizophrenia for adults.;Hypersensitivity.;"Dyspepsia, diarrhea; increased weight, increased blood creatine phosphokinase; akathisia, tremor, sedation.";"Depression; Schizophrenia.";Antipsychotics
Risperdal/Risperdal Consta;Johnson & Johnson;Risperidone;Risperdal Acute & chronic schizophrenic psychoses, including first episode psychoses, & other psychotic conditions in which positive &/or negative symptoms are prominent. Alleviates affective symptoms associated with schizophrenia. Manic episodes associated with bipolar disorders. Agitation, aggression or psychotic symptoms in moderate to severe dementia of the Alzheimer type. Conduct & other disruptive behaviour disorders where aggressive or other disruptive behaviors are prominent. Improves adaptive skills in childn with autistic disorder. Risperdal Consta Schizophrenia & schizoaffective disorder. Monotherapy & adjunctive maintenance treatment of bipolar I disorder to delay occurrence of mood episodes.;Hypersensitivity.;"Anaphylactic reaction. Infections & infestations; blood & lymphatic system disorders; hypersensitivity; psychiatric disorders; nervous system disorders; eye disorders; ear & labyrinth disorders; cardiac disorders; vascular disorders; resp, thoracic & mediastinal disorders; GI disorders; skin & SC tissue disorders; musculoskeletal & connective tissue disorders; renal & urinary disorders; reproductive system & breast disorders; fatigue, pain, asthenia, peripheral edema, pyrexia, feeling abnormal, sluggishness, chest pain/discomfort, abnormal gait, edema; increased blood creatinine phosphokinase, increased heart rate; metabolism & nutrition disorders; body temp increase/decrease, weight increase/decrease, increased blood prolactin; injury, poisoning & procedural complications; endocrine disorders; hepatobiliary disorders; chills, discomfort, drug withdrawal syndrome, face oedema, induration, malaise, peripheral coldness, thirst.";"Autistic Disorder; Bipolar Disorder; Schizophrenia; Tourette's Syndrome & Other Tic Disorders.";Antipsychotics
Seroquel XR;AstraZeneca;Quetiapine fumarate;Acute & maintenance treatment of schizophrenia. Bipolar disorder including manic episodes associated with bipolar I disorder & depressive episodes associated with bipolar disorder. Add-on treatment of major depressive episodes in patients with major depressive disorder (MDD) who have had inadequate response after 6 week treatment of antidepressant monotherapy.;Hypersensitivity. Concomitant administration with CYP450 3A4 inhibitors eg, HIV-PIs, azole antifungals, erythromycin, clarithromycin & nefazodone.;"Decreased Hb; elevated serum triglyceride & total cholesterol, decreased HDL, weight gain; dizziness, somnolence, headache, extrapyramidal symptoms; dry mouth; withdrawal symptoms. Leucopenia, decreased neutrophil, increased eosinophil; hyperprolactinaemia, decreased total T4, free T4 & total T3, increased TSH; increased appetite, blood glucose to hyperglycaemic levels; abnormal dreams & nightmares, suicidal ideation & behaviour; dysarthria; tachycardia, palpitations; blurred vision; orthostatic hypotension; dyspnoea; constipation, dyspepsia, vomiting; elevated ALT & gamma-GT levels; mild asthenia, peripheral oedema, irritability, pyrexia.";"Anxiety; Depression; Bipolar Disorder; Schizophrenia.";Antipsychotics
Sikzonoate;Mersifarma TM;Fluphenazine decanoate;Long-term management of psychotic disorder eg, chronic schizophrenia.;Comatose & severely-depressed states, marked cerebral & hepatic damage, jaundice, atherosclerosis, phaeochromocytoma, existing blood dyscrasias, renal & cardiac insufficiency.;"Acute dystonic reactions, parkinsonian-like states, tardive dyskinesia; drowsiness, lethargy, blurred vision, dry mouth, constipation, urinary hesitancy or incontinence, mild hypotension, impaired judgement & mental skills, epileptiform attacks; abnormal skin pigmentation & lens opacities. ECG changes with prolonged QT interval & T-wave changes; serious arrhythmias including ventricular tachycardia & fibrillation. Hypothermia; neuroleptic malignant syndrome; hyperprolactinaemia, impaired sexual function; oedema.";"Anxiety; Schizophrenia.";Antipsychotics
Sizoril;Meprofarm;Clozapine;Treatment-resistant schizophrenic patients who are nonresponsive or intolerant to classical neuroleptics.;"Hypersensitivity. History of drug-induced granulocytopenia/agranulocytosis; impaired bone marrow function; circulatory collapse or CNS depression; severe hepatic, renal or cardiac failure.";"Granulocytopenia, agranulocytosis; fatigue, drowsiness, sedation, dizziness, headache; tachycardia, postural hypotension with or without syncope; nausea, vomiting, constipation.";"Bipolar Disorder; Schizophrenia.";Antipsychotics
Stelosi 5;Mersifarma TM;Trifluoperazine HCl;Low dose: Control of nervousness, tension, agitation. Nausea & vomiting from various origins. High dose: Acute & chronic catatonic, hebephrenic schizophrenia & paranoia, psychosis due to organic brain damage & intoxication. Control of manic-depressive disease symptoms.;Coma, severe depression, blood dyscrasia, bone-marrow depression, hepatic disease.;Asthenia, nervousness, drowsiness, insomnia, dry mouth, blurred vision, muscle weakness, hypotension, extrapyramidal symptoms (high-dose usage or patients >40 year).;"Anxiety; Schizophrenia; Nausea & Vomiting.";Antipsychotics
